Epoch,Solver,Training Loss,Test Accuracy
1,Random Rotation,2.3037002,0.100417994
2,Random Rotation,2.302523,0.100417994
3,Random Rotation,2.3020647,0.15475717
4,Random Rotation,2.3012254,0.1571457
5,Random Rotation,2.2980762,0.1433121
6,Random Rotation,2.2445536,0.22153662
7,Random Rotation,2.0304189,0.26701832
8,Random Rotation,1.9185015,0.3249403
9,Random Rotation,1.8031131,0.37370622
10,Random Rotation,1.7108928,0.4053543
11,Random Rotation,1.6515917,0.4157046
12,Random Rotation,1.6043414,0.43501195
13,Random Rotation,1.5619689,0.44615844
14,Random Rotation,1.5237972,0.46536624
15,Random Rotation,1.4881618,0.47681132
16,Random Rotation,1.4574372,0.47790605
17,Random Rotation,1.4236083,0.4906449
18,Random Rotation,1.388821,0.5016919
19,Random Rotation,1.3519939,0.5121417
20,Random Rotation,1.3225058,0.51801354
1,Color Jitter,2.303174,0.09982086
2,Color Jitter,2.3020651,0.17127787
3,Color Jitter,2.3001635,0.17028265
4,Color Jitter,2.2634861,0.16958599
5,Color Jitter,2.1272266,0.26811305
6,Color Jitter,1.9463353,0.29339173
7,Color Jitter,1.8386705,0.35698646
8,Color Jitter,1.7441998,0.3967954
9,Color Jitter,1.6767387,0.41530654
10,Color Jitter,1.6243463,0.4227707
11,Color Jitter,1.5780419,0.44804937
12,Color Jitter,1.5428139,0.4500398
13,Color Jitter,1.506101,0.47044188
14,Color Jitter,1.4715605,0.4732285
15,Color Jitter,1.4219687,0.48646498
16,Color Jitter,1.3788675,0.5030852
17,Color Jitter,1.3211445,0.517715
18,Color Jitter,1.2772971,0.5330414
19,Color Jitter,1.2345484,0.55553347
20,Color Jitter,1.1834745,0.5632962
1,Gaussian Blur,2.3037949,0.100417994
2,Gaussian Blur,2.3023922,0.13982882
3,Gaussian Blur,2.3014567,0.15913615
4,Gaussian Blur,2.2984707,0.19476512
5,Gaussian Blur,2.241893,0.20073646
6,Gaussian Blur,2.0199058,0.29966164
7,Gaussian Blur,1.8913393,0.33409634
8,Gaussian Blur,1.7860326,0.3781847
9,Gaussian Blur,1.7028128,0.41172373
10,Gaussian Blur,1.6415,0.42167595
11,Gaussian Blur,1.6016103,0.42754778
12,Gaussian Blur,1.5642898,0.44317278
13,Gaussian Blur,1.5303702,0.46188295
14,Gaussian Blur,1.4962158,0.46944666
15,Gaussian Blur,1.4632523,0.47890127
16,Gaussian Blur,1.4330162,0.4928344
17,Gaussian Blur,1.3989246,0.48955017
18,Gaussian Blur,1.3663071,0.5150279
19,Gaussian Blur,1.3294114,0.51940686
20,Gaussian Blur,1.290261,0.5304538
1,No transform,2.303024,0.17197452
2,No transform,2.2924294,0.21357484
3,No transform,2.0633101,0.32464173
4,No transform,1.6961187,0.42287022
5,No transform,1.4958911,0.4803941
6,No transform,1.3916489,0.5007962
7,No transform,1.3144662,0.5341362
8,No transform,1.2558652,0.55473727
9,No transform,1.189587,0.5713575
10,No transform,1.1277915,0.5821059
11,No transform,1.0696082,0.60828024
12,No transform,1.0162653,0.60987264
13,No transform,0.9554532,0.6173368
14,No transform,0.8959265,0.63186705
15,No transform,0.8380694,0.62609476
16,No transform,0.77599925,0.64669585
17,No transform,0.7118455,0.6428145
18,No transform,0.64264524,0.63863456
19,No transform,0.5708989,0.6402269
20,No transform,0.4980838,0.6463973
